ICBC
DBS Group
Svenska Handelsbanken
BCE
Centrica
National Oilwell Varco
Air Liquide
Teva Pharmaceutical Inds
Old Mutual
Philips
Swedbank
Oversea-Chinese Banking
Eaton
Directv
Dai-ichi Life Insurance
Marubeni
Fresenius
ICICI Bank
China Vanke
China Communications Construction
State Street
Central Japan Railway
Kroger
Johnson Controls
China Railway Construction
Henkel
Inditex
Emerson Electric
Husky Energy
Wilmar International
Teliasonera
Dominion Resources
BB&T
China Railway Group
Sasol
NIKE
Kinder Morgan
SingTel
CaixaBank
OMV Group
Maybank
Holcim
Reckitt Benckiser Group
Telenor
EOG Resources
Tata Motors
Power Corp of Canada
Monsanto
Raytheon
SSE
Mitsubishi Heavy Industries
Chubb
Accenture
Mitsubishi Electric
American Electric
HCA Holdings
Standard Life
Enbridge
Northrop Grumman
WPP
Kraft Foods Group
Takeda Pharmaceutical
Discover Financial Services
EDP-Energias de Portugal
Safran
Volvo Group
Investor
Sumitomo Mitsui Trust
Fannie Mae
Samsung Life Insurance
Las Vegas Sands
Baxter International
Michelin Group
Anadarko Petroleum
Sun Hung Kai Properties
Ameriprise Financial
International Paper
Gilead Sciences
Huaxia Bank
Kimberly-Clark
United Overseas Bank
CBS
Toshiba
KB Financial Group
Richemont
Merck
Femsa
Marathon Oil
Carnival
Mapfre
Freddie Mac
MTN Group
General Mills
Viacom
Lafarge
Grupo ACS
Thermo Fisher Scientific
Sistema
Baker Hughes
Automatic Data
Canadian National Railway
Orix
Talanx
TransCanada
Lloyds Banking Group
Isbank
Saudi Telecom
CSX
Norfolk Southern
Lincoln National
Macy's
Pernod Ricard
Novo Nordisk
Cathay Financial
Huaneng Power International
Royal Ahold
SunTrust Banks
NKSJ Holdings
GDF SUEZ
Glencore International
Qatar National Bank
Sampo
Magna International
Komatsu
Fubon Financial
Inpex
PG&E
Garanti Bank
Illinois Tool Works
Indian Oil
Mitsui Fudosan
Humana
Fuji Heavy Industries
Syngenta
HDFC Bank
Texas Instruments
Colgate-Palmolive
NTPC
Royal Bank of Scotland
Tencent Holdings
Swisscom
Coal India
Bank of Beijing
PPL
AMP
Macquarie Group
Prudential Financial
HeidelbergCement
UniCredit Group
Suzuki Motor
Praxair
Edison International
SK Hynix
PPG Industries
JFE Holdings
Vale
Tenaga Nasional
Resona Holdings
Toyota Industries
Daiwa Securities
Fifth Third Bancorp
United Continental Holdings
H&M
KoÃ§ Holding
Chesapeake Energy
Amazon.com
Intesa Sanpaolo
Paccar
Aon
Xerox
Hana Financial Group
Etisalat
Loews
Tokyo Electric Power
CIMB Group Holdings
SK Telecom
TJX Cos
Charles Schwab
Associated British Foods
Tesco
Principal Financial Group
Mitsubishi Estate
GFNorte
Ageas
Repsol YPF
Sempra Energy
T&D Holdings
New China Life Insurance
FirstRand
Aeon
Akzo Nobel
Bank Mandiri
Rogers Communications
Swiss Life Holding
Novatek
Corning
Fujifilm Holdings
Bank Rakyat Indonesia
CEZ Group
Consolidated Edison
Akbank
Micron Technology
Covidien
Progressive
Saudi Electricity
ArcelorMittal
Alstom
National Bank of Canada
Formosa Petrochemical
Cummins
SK Innovation
TE Connectivity
Ecolab
Larsen & Toubro
Gree Electric Appliances
Public Service Enterprise
Piraeus Bank
Precision Castparts
RWE Group
MasterCard
Fortescue Metals Group
Kellogg
Kirin Holdings
Facebook
Poly Real Estate
Baoshan Iron & Steel
Fortum
Atlas Copco
Norilsk Nickel
Cheung Kong Holdings
Toyota Tsusho
Sysco
Tatneft
DISH Network
Safeway
Adidas
Cenovus Energy
Korea Electric Power
Omnicom Group
Cardinal Health
Thales
Otsuka Holding
Grupo Mexico
CLP Holdings
Swire Pacific
Kyocera
Marsh & McLennan
China Resources Land
HDFC
Raiffeisen Bank International
Shin-Etsu Chemical
CIC Group
Suncorp Group
Kubota
SCA
Tata Consultancy Services
Siam Commercial Bank
TELUS
Aisin Seiki
Daikin Industries
LG Chem
Vivendi
Transocean
Mazda Motor
Anglo American
Evonik
Grupo Aval
Compass Group
Kasikornbank
Commerzbank
Ferrovial
Xcel Energy
J Sainsbury
Lotte Shopping
Franklin Resources
Daiwa House Industry
Sabanci Holding
Grupo Modelo
Carlsberg
Lenovo Group
Al Rajhi Bank
Hartford Financial Services
Kingfisher
Keppel Corp
Simon Property Group
Tenaris
Regions Financial
Telecom Italia
Southwest Airlines
Western Digital
Porsche Automobil Holding
Tokyo Gas
Woodside Petroleum
Deutsche Lufthansa
Falabella
Bankia
Potash of Saskatchewan
Sumitomo Electric
Public Bank
Alpha Bank
Air Products & Chemicals
Sumitomo Realty
Publicis Groupe
Entergy
ASML Holding
SLM
ConAgra Foods
Reynolds American
China Resources Power
Samsung Fire & Marine
Unum Group
Sime Darby
George Weston
Evergrande Real Estate
Agrium
Mosaic
Anhui Conch Cement
Teck Resources
Banco Popular Espanol
Swatch Group
National Bank of Greece
Stryker
Delphi Automotive
Spectra Energy
Tyson Foods
FirstEnergy
Sodexo
Biogen Idec
Abertis
Astellas Pharma
M&T Bank
Murphy Oil
Formosa Chemicals
Hyundai Heavy Industries
Liberty Global
Unibail-Rodamco
PKO Bank Polski
ThyssenKrupp Group
Bharti Airtel
Siam Cement
Adecco
Seadrill
Celgene
Axis Bank
Nokia
MTR
Country Garden Holdings
Quanta Computer
British Sky Broadcasting
Mitsubishi Motors
JBS
Couche Tard
National Bank of Abu Dhabi
Dollar General
Daqin Railway
Metro Group
Parker-Hannifin
Bancolombia
PGE
Asahi Kasei
Fast Retailing
Whirlpool
Sandvik
China National Building
Liberty Media
Kohl's
Genworth Financial
BAE Systems
Priceline.com
Annaly Capital Management
Chunghwa Telecom
VF
Halkbank
Bouygues
Bank Central Asia
CME Group
Asahi Group Holdings
MegaFon
CenturyLink
SK Holdings
Insurance Australia Group
Yara International
XL Group
Isuzu Motors
Magnit
Steinhoff International
Yum Brands
Ricoh
AmerisourceBergen
Atlantia
Industrial Bank of Korea
DTE Energy
Toray Industries
Northeast Utilities
First Gulf Bank
Seagate Technology
VimpelCom
Ooredoo Telecom
China Cinda Asset Management
Ingersoll-Rand
PTT Global Chemical
Sanlam
Banco de Sabadell
Li & Fung
Liberty Interactive
Henderson Land
CSR
Erste Group Bank
Scor
China Steel
Technip
GD Power Development
Nucor
Hilton Worldwide Holdings
China Coal Energy
Nan Ya Plastics
Midea Group Co. Ltd.
New World Development
Gap
Sekisui House
Daiichi Sankyo
CRH
Idemitsu Kosan
Grupo PÃ£o de AÃ§Ãºcar
Bangkok Bank
Westfield Group
KeyCorp
DaVita
Yahoo
Kansai Electric Power
National Bank of Kuwait
Deutsche Boerse
Veolia Environnement
Mobily
Marks & Spencer
Samba Financial Group
Baidu
Resolution
Northern Trust
Infosys
American Airlines Group
Fujitsu
Wheelock & Co
Dentsu
Wolseley
Citic Securities
Williams Cos
QBE Insurance Group
Riyad Bank
Mitsubishi Chemical
Solvay
Japan Airlines
Dongfeng Motor Group
Bombardier
Devon Energy
Galaxy Entertainment
Luxottica Group
Becton Dickinson
Grupo Inbursa
Alcoa
Thomson Reuters
Best Buy
West Japan Railway
Canadian Pacific Railway
BRF-Brasil Foods
Fosun International
Allergan
Citic Pacific
ItaÃºsa
Chinatrust Financial
Allied Irish Banks
TRW Automotive Holdings
Metallurgical Corp of China
Bunge
Kao Corp
IDGC Holding
Kering
Hyundai Steel
Emirates NBD
LG Electronics
Motorola Solutions
Telekom Indonesia
Noble Energy
EnBW-Energie Baden
Barrick Gold
Cognizant Technology
International Airlines
Mercantil Servicios
Peugeot
Murata Manufacturing
Cencosud
Tyco International
Chubu Electric Power
EstÃ©e Lauder Cos
Skanska
L-3 Communications
Leucadia National
VMware
Kuehne + Nagel
Eastman Chemical
LG Display
Cemex
Shimao Property Holdings
Saudi British Bank
Cameron International
Mediolanum
Discovery Communications
China Yangtze Power
Punjab National Bank
China CNR
Grupa PZU
Capgemini
Krung Thai Bank
Republic Services
Bank of Baroda
Sinohydro Group
Mahindra & Mahindra
San Miguel
Valeo
RTL Group
BÃ¢loise Group
Longfor Properties
Vienna Insurance Group
Goodyear
KPN
AES
Fluor
Abu Dhabi Commercial Bank
Weyerhaeuser
Mylan
Bank of East Asia
Ensco
AntarChile
HollyFrontier
Woori Finance Holdings
China Shipbuilding Industry
Bank Hapoalim
Stanley Black & Decker
SJM Holdings
ALFA
Dover
Bed Bath & Beyond
UPM-Kymmene
ITC
Waste Management
Mega Financial Holding
LG Corp
Invesco
American Capital Agency
Kone
Pearson
Alcatel-Lucent
Great Wall Motor
Lixil Group
Voestalpine
Hanwha Life Insurance
Hertz Global Holdings
Galp Energia
Formosa Plastics
AutoZone
Eiffage
Symantec
Wipro
Nielsen Holdings
L Brands
Origin Energy
UBI Banca
Rakuten
Fanuc
Sherwin-Williams
Naspers
Actavis
Tokyu
Royal Caribbean Cruises
Axiata Group
Datang International Power
Essilor International
Assa Abloy
Reed Elsevier
Constellation Brands
SanDisk
Applied Materials
Whole Foods Market
ICA Gruppen
HCP
Oi
Bharat Heavy Electricals
Unipol Gruppo
Kweichow Moutai
TD Ameritrade Holding
Grupo Televisa
Marriott International
Secom
Genuine Parts
Ross Stores
RusHydro
Agilent Technologies
Textron
Staples
Everest Re Group
Weatherford International
Land Securities Group
WW Grainger
American Tower
Jiangxi Copper
Bank of Ireland
Chow Tai Fook Jewellery
Samsung C&T
Beiersdorf
Computer Sciences
Pgnig Group
Samsung Heavy Industries
CF Industries Holdings
Credicorp
Industries Qatar
Hershey
Sinopharm Group
Power Assets Holdings
Belgacom
Areva
Rostelecom
DSM
CIT Group
Nordstrom
VakifBank
Hanwha Corp
Kobe Steel
Cemig
Genting
Financiere de l'Odet
Zhejiang Zheneng Electric Power
Boston Properties
Starbucks
NEC
Valeant Pharmaceuticals
News Corp
Finatis
Phoenix Group Holdings
Tesoro
GKN
Nippon Yusen
CSL
Shanghai International Port
NRG Energy
Banque Saudi Fransi
Dexia
KT Corp
Banque nationale de Belgique
Huadian Power International
Ryanair Holdings
CarMax
Shanghai Electric Group
Investec
Aluminum Corp of China
HermÃ¨s International
NiSource
Huntington Bancshares
RSA Insurance Group
Haitong Securities
Pentair
Onex
Dassault Aviation
Sumitomo Metal Mining
Comerica
Hong Kong & China Gas
Oneok
Emaar Properties
Link REIT
GAIL India
Uni-President
Hindalco Industries
Turkcell
Reinsurance Group of America
Johnson Matthey
Korea Gas
MGM Resorts
SM Investments
Broadcom
Bank Negara Indonesia
Canara Bank
Kuwait Finance House
Singapore Airlines
Asustek Computer
Antofagasta
Fidelity National Information
Cathay Pacific Airways
St Jude Medical
CGI Group
Noble Group
Bank of India
Public Storage
Jeronimo Martins
Bank of Greece
CapitaLand
Schroders
Coca-Cola Enterprises
Tata Steel
Rockwell Automation
Finmeccanica
Avnet
Wm Morrison Supermarkets
Canadian Tire
China Oilfield Services
Ralph Lauren
Showa Shell Sekiyu
Schindler Holding
Bank of Yokohama
Lorillard
Grupo Carso
Banco Popolare
Continental Resources
CA
NHN
Wynn Resorts
Arab National Bank
Next
Weichai Power
Amcor
Wendel
Bidvest Group
Brambles
Hankyu Hanshin Holdings
Qingdao Haier
Sun Art Retail Group
Power Grid of India
IntercontinentalExchange
Rock-Tenn
Mattel
Pohjola Bank
Shaanxi Coal Industry
CenterPoint Energy
Advanced Info Service
Harley-Davidson
DP World
Chongqing Rural Bank
Legrand
Uralkali
Kyushu Electric Power
SGS
Terna
Grupo Bimbo
Guangzhou R&F
Mediatek
KGHM Polska Miedz
Ventas
O'Reilly Automotive
Newmont Mining
Neste Oil
Sumitomo Chemical
Air France-KLM
Shin Kong Financial
LagardÃ¨re
Tingyi Holding
McGraw-Hill Cos
Shire
Assurant
BorgWarner
Cielo
Bharat Petroleum
Dangote Cement
IHI
Helvetia Holding
Ashland
Latam Airlines
Ambac Financial Group
All Nippon Airways
RHB Capital
Henan Shuanghui Investment
United Utilities
Storebrand
Hormel Foods
Intact Financial
Delhaize Group
EletrobrÃ¡s
Norsk Hydro
Petronas Chemicals
Prologis
Randstad Holding
Sembcorp Industries
Attijariwafa Bank
Melco Crown Entertainment
China Resources Enterprise
China Eastern Airlines
Mitsubishi Materials
Celanese
Shaw Communications
Prada
SES
Tohoku Electric Power
Lend Lease Group
Alleghany
Arrow Electronics
Boston Scientific
Shizuoka Bank
Stora Enso
Hyundai Engineering
Suntory Beverage & Food
Chicago Bridge & Iron
Daito Trust Construction
PulteGroup
T Rowe Price
Huishang Bank Corporation Limited
Quest Diagnostics
CMS Energy
PKN Orlen
Arab Bank
China Southern Airlines
Yamato Holdings
Kawasaki Heavy Industries
Brenntag
Zimmer Holdings
Bank of Ningbo
General Growth Properties
Rexel
Charter Communications
NetApp
Starwood Hotels
Gjensidige Forsikring
MOL Hungarian Oil
Coach
London Stock Exchange
Uniqa
New York Community
Campbell Soup
Keyence
Santos
Dollar Tree
Taishin Financial Holdings
Sharp
Bank of Nanjing
Delta Lloyd
Industrivarden
SMC Corp
SÃ¼dzucker
AmBank Group
Western Union
Suning Appliance
Turk Telekom
First Republic Bank
Fiserv
Doosan
Mediobanca
Vedanta Resources
Osaka Gas
EasyJet
Asahi Glass
BYD
PartnerRe
Wisconsin Energy
Fairfax Financial
Kinnevik
Dongbu Insurance
Colruyt
Noble
BCI-Banco Credito
Molson Coors Brewing
Bank Leumi
Eurazeo
Hong Kong Exchanges
Sears Holdings
Alliance Data Systems
El Puerto de Liverpool
Arch Capital Group
FMC Technologies
Verbund
Kintetsu
HCL Technologies
Experian
E-mart
W&W-WÃ¼stenrot
Sabesp
Red ElÃ©ctrica
Intuit
Goldcorp
Dai Nippon Printing
Quinenco
Mitsubishi UFJ Lease
Saputo
Delta Electronics
CPFL Energia
Chiba Bank
Global Logistic Properties
Advanced Semiconductor
Enka
Henry Schein
Lear
Hyundai Glovis
Amadeus IT Holdings
Hang Lung Group
Autoliv
Inner Mongolia Yili
Zoomlion Heavy Industry
Braskem
Doosan Heavy Industries
Metalurgica Gerdau
Alrosa
Ameren
Sojitz
Caltex Australia
Fidelity National Financial
Nidec
Hebei Iron & Steel
American Financial Group
Encana
Top Frontier Investment Holdings
WR Berkley
Moody's
Espirito Santo Financial
Jacobs Engineering
Beijing Enterprises
China Taiping Insurance
ATOS
Flextronics International
Want Want China
Yamaha Motor
Julius Baer Group
S-Oil
Direct Line Insurance
Dr Pepper Snapple Group
Pegatron
Nintendo
Banca MPS
BPI
Cincinnati Financial
Hindustan Petroleum
Mondi
Anadolu Efes
HAL Trust
Crown Castle International
Lennar
Equity Residential
Cosmo Oil
Zain
ZTE
Industrial Alliance Insurance
Wuliangye Yibin
Intuitive Surgical
Oriental Land
PLDT
Power Finance
CH Robinson Worldwide
Sino-Ocean Land Holdings
Union Bank of India
CP All
Ajinomoto
Oji Holdings
Adani Enterprises
Ingram Micro
Avalonbay Communities
Host Hotels & Resorts
Brown-Forman
JM Smucker
Saudi Arabian Fertilizers
WÃ¤rtsilÃ¤
Mead Johnson Nutrition
Analog Devices
Xiamen C&D
Clorox
Century Tokyo Leasing
Amphenol
Hong Leong Financial
Novolipetsk Steel
Harbin Bank
Banco Comercial Portugues
Mitsui OSK Lines
TUI
First Quantum Minerals
Southwestern Energy
Kotak Mahindra Bank
Agile Property Holdings
Dubai Islamic Bank
CJ Corp
Bank of Ayudhya
Raymond James Financial
Thai Beverage
Michael Kors Holdings
Bankinter
SKF Group
Health Care REIT
Chugoku Electric Power
Gemdale
Shinsei Bank
AutoNation
OTP Bank
DSME
Greentown China Holdings
Delek Group
Empire
Eisai
MISC
Belle International Holdings
Essar Energy
CONSOL Energy
Shoprite Holdings
Oil & Gas Development
China Cosco Holdings
Nikon
Masraf Al Rayan
Taisei
GF Securities
Westfield Retail Trust
Petrofac
Zions Bancorp
IDBI Bank
BBMG
Savola Group
Sun Pharma Industries
Vornado Realty
First Financial Holding
Canadian Oil Sands
China Merchants Property
Pirelli & C
OMRON
Seiko Epson
Popular
Hoya
Juniper Networks
Saudi Arabian Mining
Metro Inc
Universal Health
Givaudan
Petronas Gas
Severstal
Regeneron Pharmaceuticals
PGN
Nitto Denko
China National Chemical
Hankook Tire
Keurig Green Mountain
Torchmark
Infineon Technologies
Aeroports de Paris
Orica
Paychex
KazMunaiGas Exploration
Ahli United Bank
Catamaran
Severn Trent
Inter Rao
CNO Financial Group
Obayashi
JGC
Steel Authority of India
Abengoa
Zoetis
Medipal Holdings
YTL
Helmerich & Payne
TCL Corp
Avago Technologies
Coca-Cola HBC
Rural Electrification
Evraz Group
Xilinx
Rockwell Collins
Deutsche Annington Immobilien
LabCorp
Maxis
AGL Energy
Ternium
Family Dollar Stores
British Land
China International Marine
Aozora Bank
Electrolux Group
Vallourec
Coloplast
Check Point Software
Protective Life
Qantas Airways
PVH
Kajima
Calpine
Shanghai Construction
Smith & Nephew
CSN
Banco Davivienda
Portugal Telecom
NMDC
CCR
DR Horton
Unicharm
AGCO
Rite Aid
Mohawk Industries
UC Rusal
CR Bard
SCANA
Cheng Shin Rubber Industry Co.
Manpower
Bunzl
Toppan Printing
Ball
Sekisui Chemical
Metropolitan Bank & Trust
Jiangsu Yanghe Brewery
Petro Rabigh
UCB
Innolux
Stockland Australia
Travis Perkins
Korean Air
Zijin Mining Group
Flowserve
Axis Capital Holdings
Mail.ru Group Ltd. Sponsored GDR RegS
Yamaguchi Financial
Markel
GEA Group
Sany Heavy Industry
Mashreq Bank
Iliad
FonciÃ¨re des RÃ©gions
Commercial Bank of Qatar
AU Optronics
Wuhan Iron & Steel
Nippon Express
Hyundai Marine & Fire
Talisman Energy
Hellenic Telecom
Garmin
Perrigo
Roper Industries
Wyndham Worldwide
Community Health Sys
Advance Auto Parts
Aldar Properties
Charoen Pokphand Foods
City Developments
Tele2
Adobe Systems
Accor
Zodiac Aerospace
Pioneer Natural Resources
Bta Bank
Banco Occidental
Starwood Property Trust
Gecina
STRABAG
Cerner
United Rentals
ST Engineering
Caesars Entertainment
Lotte Chemical
Dassault Systemes
TAQA
EQT
Shimizu
Alfresa Holdings
Ametek
Fukuoka Financial Group
Syndicate Bank
Level 3 Communications
Remgro
Aramark
US Steel
Acciona
Nomos Bank
Guangdong Electric Power
Shanghai Pharmaceuticals
ITV
Renesas Electronics
Crown Resorts
E-Trade Financial
TDC
Olam International
Assured Guaranty
KLA-Tencor
Mitsui Chemicals
Netease
Alfa Laval
SDIC Power Holdings
Shenzhen Overseas
Kerry Group
Kingdom Holding
SOHO China
Hua Nan Financial
Fastenal
SinoPac Financial
China Longyuan Power
BM&F Bovespa
China Merchants Holdings
Chongqing Changan Auto
FCC
Olympus
Yanzhou Coal Mining
China Life Insurance (Taiwan)
NXP Semiconductors
Sunac China Holdings
Interpublic Group
Electric Power Development
Quanta Services
Hengan International Group
Zenith Bank
Petronas Dagangan
Bendigo & Adelaide Bank
NÃ¼rnberger
Whitbread
Turkish Airlines
Hexagon
Yamada Denki
Old Republic International
Visteon
Grifols
X5 Retail Group
Compal Electronics
Angang Steel
CBRE Group
Sika
Manila Electric
Shanxi Taigang Stainless
Bajaj Auto
Scripps Networks Interactive
Cimarex Energy
Union National Bank
Terumo
Geberit
Taiwan Mobile
American Water Works
Isetan Mitsukoshi Holdings
Wolters Kluwer
Tenet Healthcare
China Hongqiao Group
E-L Financial
Sigma-Aldrich
Petsmart
Arca Continental
Newell Rubbermaid
Golden Agri-Resources
Bank of Chongqing
Hachijuni Bank
Jyske Bank
FBN Holdings
Nippon Paper Industries
Taiwan Cooperative Financial
Salesforce.com
Public Power
KT&G
Willis Group Holdings
Israel Corp
Actelion
Intu Properties plc
Cosan
Foot Locker
Westlake Chemical
Alpiq Holding
Pembina Pipeline
Smiths Group
Suzuken
Joyo Bank
Rockwood Holdings
Songbird Estates plc
Mechel
Permanent TSB Group
Industrias PeÃ±oles
Darden Restaurants
Two Harbors Investment
Embraer
World Fuel Services
Mizrahi Tefahot Bank
Gudang Garam
BCV Group
Banca Popolare dell'Emilia
Dongfang Electric
Sino Land
ISS
Wistron
Novozymes
Capita
Hokuhoku Financial Group
Chang Hwa Bank
SINOPEC Engineering (Group)
Altera
Iyo Bank
Chipotle Mexican Grill
LIG Insurance
Linear Technology
China Mengniu Dairy
China Merchants Securities
Lundbergs
IOI Group
GS Holdings
Smurfit Kappa Group
Beam
Avis Budget Group
Hikvision
Enagas
Vestas Wind Systems
MMI Holdings
Hammerson plc
Metso
Jarden
Huatai Securities
Kawasaki Kisen Kaisha
STMicroelectronics
Fortis (Canada)
Harbinger Group
J Front Retailing
Porto Seguro
Crescent Point Energy
Thai Oil
Weir Group
Aberdeen Asset Management
NVIDIA
TDK
K+S
Harris
OCI
Forest Laboratories
Hyosung
DIA
Nishi-Nippon City Bank
Minmetals Development
Expeditors International
Hopson Development Holdings
77 Bank
Eastman Kodak
Saudi Hollandi Bank
Chugoku Bank
North Pacific Bank
Lanxess
OHL Group
Aspen Pharmacare Holdings
Alexion Pharmaceuticals
Subsea 7
Airports of Thailand
Bank of Kyoto
Burberry Group
Ezdan Holding Group
Cattolica Assicurazioni
Tech Data
Tractor Supply
Hiroshima Bank
Semen Indonesia
Tobu Railway
Crown Holdings
Banca Popolare di Milano
Gunma Bank
Franshion Properties (China)
Cliffs Natural Resources
China Communications Services
Alaska Air Group
Bank Muscat
JB Hunt Transport
Nabors Industries
SNC-Lavalin Group
Federal Grid of UES
SK Networks
NCR
Bank Audi
Central Bank of India
Masco
BS Financial Group
CorpBanca
China National Materials
Maanshan Iron & Steel
G4S
Twitter
Liberbank
First Niagara Financial
Thomas Cook Group
Grupo Elektra
Netflix
Petrovietnam Gas
Sumitomo Rubber
Yandex NV
Aareal Bank
Banco BPI
China Gezhouba
JC Penney
Aurizon Holdings
Banca CARIGE
Tesla Motors
Israel Discount Bank
A2A
Blom Bank
Huntsman
JTEKT
Waters
E.Sun Financial
Almarai
BOE Technology Group
SL Green Realty
Banrisul
Equity Assurance
Juroku Bank
Ruentex Industries
Atco
Salzgitter
Ashikaga Holdings
Ziggo
Bolsas & Mercados
Thanachart Capital
Brilliance China Automotive Holdings
Halyk Bank
ARM Holdings
ProSiebenSat1 Media
Hyundai Hysco
Shionogi & Co.
Sega Sammy Holdings
WABCO Holdings
Imperial Holdings
Senshu Ikeda Holdings
Hugo Boss
Magnitogorsk Iron & Steel
Nanto Bank
ASM International N.V.
Emirates Integrated Telecom
BayWa
Affiliated Managers Group
IDB Holding
China Agri-Industries
Qatar Islamic Bank
LinkedIn
Lindt & Sprungli
PBF Energy
Hyakugo Bank
Pacific Rubiales Energy
Far Eastern New Century
Reliance Steel
Ayala
CJ Cheiljedang
Polyus Gold International
Pinnacle West
BOK Financial
Hudson City Bancorp
Guaranty Trust Bank
Ogaki Kyoritsu Bank
Gansu Jiu Steel Group Hongxing Iron & Steel
Realogy Holdings
Daishi Bank
Kansas City Southern
Alinma Bank
Shiga Bank
Suruga Bank
Royal Boskalis
SQM
Toho Bank
Aboitiz Equity Ventures
McCormick & Co
Jabil Circuit
Dick's Sporting Goods
Murphy USA
Varian Medical Systems
Hainan Airlines
MeadWestvaco
Banca Popolare di Sondrio
Indian Bank
Honbridge Holdings
Umicore
Abu Dhabi Islamic Bank
Orient
VeriSign
Great Wall Technology
CVR Energy
Hellenic Petroleum
Balfour Beatty
Bilfinger
Monster Beverage
SpareBank 1 SR-Bank
Taiwan Business Bank
Indian Overseas Bank
Nine Entertainment Co. Holdings Pty
Chinese Estates
Basler Kantonalbank
